Nodo1,Nodo2,Datos
0,992,{'latencia': 45.03101653206545}
0,1084,{'latencia': 86.32685244469975}
0,463,{'latencia': 80.47609128608165}
0,822,{'latencia': 27.93166483691467}
0,222,{'latencia': 78.42348782939362}
0,1327,{'latencia': 84.87930377389402}
0,668,{'latencia': 13.940406448566497}
0,1092,{'latencia': 42.354263418645075}
0,811,{'latencia': 20.366372833719474}
0,364,{'latencia': 45.73424938420986}
0,793,{'latencia': 72.47975087698318}
0,316,{'latencia': 97.73250021363818}
0,707,{'latencia': 40.037817471672604}
0,90,{'latencia': 91.96032854512876}
0,309,{'latencia': 26.9350156049659}
0,1329,{'latencia': 18.224276181989364}
0,1441,{'latencia': 36.73138452301603}
0,771,{'latencia': 39.04047741764378}
0,399,{'latencia': 60.608144559194336}
0,8,{'latencia': 29.48693400503667}
0,499,{'latencia': 53.02852315112917}
0,361,{'latencia': 14.167359967899229}
0,38,{'latencia': 85.37765297582746}
0,276,{'latencia': 81.62299849931695}
0,1179,{'latencia': 3.4961549839927444}
0,1218,{'latencia': 94.19262377985034}
0,845,{'latencia': 48.28572594562634}
0,1379,{'latencia': 32.46439579147287}
0,414,{'latencia': 25.225176583795122}
0,231,{'latencia': 76.17856416681808}
0,970,{'latencia': 81.25722171397877}
0,113,{'latencia': 6.8542378567887425}
0,990,{'latencia': 45.05183267813254}
0,941,{'latencia': 5.509894304807854}
0,849,{'latencia': 99.2586701589298}
0,1115,{'latencia': 67.82436013162466}
0,260,{'latencia': 93.43236571333021}
0,1479,{'latencia': 67.15105406756982}
0,969,{'latencia': 46.97197469152256}
0,83,{'latencia': 43.74628452635064}
0,1152,{'latencia': 64.71265614476806}
0,912,{'latencia': 88.97674746984339}
0,781,{'latencia': 83.70754820109356}
0,770,{'latencia': 62.9245533380315}
0,763,{'latencia': 54.017094748735815}
0,754,{'latencia': 62.0126188517674}
0,418,{'latencia': 70.5420769303885}
0,280,{'latencia': 12.9999689007002}
0,140,{'latencia': 40.97997938856813}
0,1148,{'latencia': 13.572342642545646}
0,413,{'latencia': 41.3694209303694}
0,220,{'latencia': 69.00874777887219}
0,138,{'latencia': 92.71686499812903}
0,40,{'latencia': 6.220288834041257}
0,190,{'latencia': 48.93540359471677}
0,1400,{'latencia': 56.212231812684}
0,495,{'latencia': 81.08337949203401}
0,1274,{'latencia': 91.23816248592709}
0,480,{'latencia': 99.03940458058568}
0,676,{'latencia': 4.399716557175136}
0,1416,{'latencia': 89.62254223299122}
0,1116,{'latencia': 88.00626839290003}
0,1195,{'latencia': 68.35759050434122}
0,755,{'latencia': 8.511699370014584}
0,475,{'latencia': 23.55122253309607}
0,634,{'latencia': 84.43070576442527}
0,739,{'latencia': 33.20662478544372}
0,498,{'latencia': 97.50228306701794}
0,983,{'latencia': 95.1142946409554}
0,1443,{'latencia': 63.02411311216156}
0,314,{'latencia': 51.78446046121608}
0,1487,{'latencia': 97.75998152418964}
0,148,{'latencia': 29.182856057431238}
0,350,{'latencia': 11.355640473869117}
0,156,{'latencia': 43.15215991128369}
0,355,{'latencia': 76.71291452200768}
0,713,{'latencia': 49.8146718620598}
0,1273,{'latencia': 8.612121137937867}
0,753,{'latencia': 18.18745555265893}
0,1113,{'latencia': 76.92294376615351}
0,1088,{'latencia': 4.878757254464073}
0,15,{'latencia': 12.253298806650141}
0,750,{'latencia': 40.294758941563046}
0,1158,{'latencia': 29.58836384785006}
1,1325,{'latencia': 19.876524551424353}
1,396,{'latencia': 25.65481534292203}
1,562,{'latencia': 38.50758623714941}
1,21,{'latencia': 5.831273848101783}
1,583,{'latencia': 74.43106490616843}
1,993,{'latencia': 64.72774981673982}
