Nodo,Datos
0,"{'ID': 0, 'Marca': 'Ubiquiti Networks', 'Modelo': 'Ggf2hQ', 'Puertos': 44, 'Ubicacion': (54.96668688018605, 10.455990164941076), 'AnchoDeBanda': 268}"
1,"{'ID': 1, 'Marca': 'Ruckus Networks', 'Modelo': 'HSYnh6', 'Puertos': 12, 'Ubicacion': (20.43121139669961, 81.87360308645236), 'AnchoDeBanda': 954}"
2,"{'ID': 2, 'Marca': 'Ubiquiti Networks', 'Modelo': '8sCngl', 'Puertos': 24, 'Ubicacion': (53.64153282344771, 17.79289451299021), 'AnchoDeBanda': 145}"
3,"{'ID': 3, 'Marca': 'Huawei', 'Modelo': 'E770zx', 'Puertos': 49, 'Ubicacion': (70.71025327726011, 67.41298762353885), 'AnchoDeBanda': 487}"
4,"{'ID': 4, 'Marca': 'HP', 'Modelo': 'myPKwr', 'Puertos': 48, 'Ubicacion': (81.93063725365236, 48.39787846760868), 'AnchoDeBanda': 33}"
5,"{'ID': 5, 'Marca': 'Huawei', 'Modelo': 'UC1Mso', 'Puertos': 32, 'Ubicacion': (71.04679107602081, 71.80072432256203), 'AnchoDeBanda': 895}"
6,"{'ID': 6, 'Marca': 'Zyxel', 'Modelo': 'pQ8jTW', 'Puertos': 38, 'Ubicacion': (42.62549658989019, 85.91802285160372), 'AnchoDeBanda': 408}"
7,"{'ID': 7, 'Marca': 'Cisco', 'Modelo': 'wuEVBF', 'Puertos': 44, 'Ubicacion': (69.04212382729521, 55.35075084108143), 'AnchoDeBanda': 560}"
8,"{'ID': 8, 'Marca': 'Juniper Networks', 'Modelo': 'M0Smg3', 'Puertos': 19, 'Ubicacion': (46.77560083508487, 44.05431569504494), 'AnchoDeBanda': 703}"
9,"{'ID': 9, 'Marca': 'FireEye', 'Modelo': 'TO5ao7', 'Puertos': 6, 'Ubicacion': (63.174768929563655, 95.78042649535483), 'AnchoDeBanda': 470}"
10,"{'ID': 10, 'Marca': 'Barracuda Networks', 'Modelo': 'bsqeFB', 'Puertos': 28, 'Ubicacion': (48.90800873436566, 99.09787591513141), 'AnchoDeBanda': 807}"
11,"{'ID': 11, 'Marca': 'Zyxel', 'Modelo': 'IUm9nZ', 'Puertos': 38, 'Ubicacion': (58.120005431964, 27.823420304371293), 'AnchoDeBanda': 586}"
12,"{'ID': 12, 'Marca': 'Zyxel', 'Modelo': 'qao1zQ', 'Puertos': 42, 'Ubicacion': (44.30701962278461, 21.237612629018866), 'AnchoDeBanda': 506}"
13,"{'ID': 13, 'Marca': 'Huawei', 'Modelo': 'fheLPj', 'Puertos': 13, 'Ubicacion': (25.108998995604836, 79.88137833794715), 'AnchoDeBanda': 14}"
14,"{'ID': 14, 'Marca': 'Check Point', 'Modelo': 'of4yXO', 'Puertos': 9, 'Ubicacion': (37.20634831358872, 22.13970198509143), 'AnchoDeBanda': 141}"
15,"{'ID': 15, 'Marca': 'Cisco', 'Modelo': 'qdfAUZ', 'Puertos': 50, 'Ubicacion': (4.394260027242924, 13.718442832135624), 'AnchoDeBanda': 439}"
16,"{'ID': 16, 'Marca': 'HP', 'Modelo': 'iDpBJb', 'Puertos': 10, 'Ubicacion': (99.79960037436328, 32.481677761613895), 'AnchoDeBanda': 700}"
17,"{'ID': 17, 'Marca': 'Barracuda Networks', 'Modelo': 'j4bq2e', 'Puertos': 34, 'Ubicacion': (41.591604488869436, 70.97111578364104), 'AnchoDeBanda': 926}"
18,"{'ID': 18, 'Marca': 'FireEye', 'Modelo': '165uTw', 'Puertos': 14, 'Ubicacion': (52.125700247121166, 75.37668267848275), 'AnchoDeBanda': 884}"
19,"{'ID': 19, 'Marca': 'FireEye', 'Modelo': 'RlpZZJ', 'Puertos': 41, 'Ubicacion': (88.59216127301693, 66.66660380293094), 'AnchoDeBanda': 437}"
20,"{'ID': 20, 'Marca': 'Juniper Networks', 'Modelo': '2yeo4y', 'Puertos': 30, 'Ubicacion': (71.80940826301429, 9.046434166043316), 'AnchoDeBanda': 741}"
21,"{'ID': 21, 'Marca': 'Avaya', 'Modelo': 'b85iwd', 'Puertos': 11, 'Ubicacion': (98.19139682954284, 37.51991512458987), 'AnchoDeBanda': 831}"
22,"{'ID': 22, 'Marca': 'HP', 'Modelo': 'WuDOzy', 'Puertos': 35, 'Ubicacion': (31.425383704320133, 73.75907029622884), 'AnchoDeBanda': 982}"
23,"{'ID': 23, 'Marca': 'Pulse Secure', 'Modelo': 'Y93FkO', 'Puertos': 46, 'Ubicacion': (98.63378651896099, 77.31804728944063), 'AnchoDeBanda': 651}"
